DesignVariation : bigCavity_x='25mm' bigCavity_y='10.5mm' bigCavity_z='1.5799999999999998mm' bigCavity_z0='8mm' bottom_z='9.5800000000000001mm' Cavity_Cap_Z='1.8999999999999999mm' cavityFeedMiddle_x='4mm' cavityFeedMiddle_y='6.0999999999999996mm' cavityFeedMiddle_z='3mm' cavityFeedMiddle_z0='5mm' cavityThrough_y='2mm' chip_dist='50um' coax_z0='7.5482500000000003mm' coaxCenter_h='2.2000000000000006mm' coaxCenter_r='0.14349999999999999mm' coaxCut_y='1mm' coaxIso_r='0.46999999999999997mm' coaxOuter_r='0.59499999999999997mm' coaxPos_x='6.5mm' coaxPos_y='5.25mm' coaxRecess_h='2.2000000000000006mm' coaxRecess_r='0.59499999999999997mm' Meshbox_big__length_var='100um' Meshbox_small__length_var='100um' stageRecess1_x='2.2000000000000002cm' stageRecess1_y='3.1000000000000001mm' stageRecess1_z='330um' stageRecess1_z0='7.6699999999999999mm' stageRecess2_x='6.0999999999999996mm' stageRecess2_y='6.0999999999999996mm' stageRecess2_z='710um' stageRecess2_z0='7.29mm' stageRecess3_x='25mm' stageRecess3_y='2.2000000000000006mm' stageRecess3_z='380.00000000000006um' stageRecess3_z0='7.6200000000000001mm' substrate_z='330um' total_x='25mm' total_y='10.5mm' wall_z='2.29mm' Z_Move_to_Origin='5mm'
Solution : Analysis2_0p2 : LastAdaptive
Parameter : Matrix_all
Capacitance Unit: pF

Capacitance
		bG1__Arm1__ex	bG1__Arm2__ex	bG1__phi1__ex	bG1__phi2__ex	bG1__phi3__ex	bG1__phi4__ex	qR7__Arm1__ex	qR7__Arm2__ex	qR7__phi1__ex	qR7__phi2__ex	qR7__phi3__ex	qR7__phi4__ex	qS16__Arm1__ex	qS16__Arm2__ex	qS16__phi1__ex	qS16__phi2__ex	qS16__phi3__ex	qS16__phi4__ex	bG1__Bondpad__ex	bG1__FBL__ex	bG1__Purcell__ex	Box__ex	qR7__BondPad__ex	qR7__Purcell__ex	qS16__Bondpad__ex	qS16__Purcell__ex
	bG1__Purcell__ex	-0.016978	-0.015748	-0.0019599	-0.0019228	-0.00020856	-0.0086623	-5.7943E-05	-5.9091E-08	-1.4088E-08	-1.0469E-08	-4.5258E-10	-6.6941E-08	-5.5272E-08	-5.2849E-05	-9.9017E-09	-1.2795E-08	-2.0899E-10	-6.9927E-08	-0.089598	-0.0091917	0.14439	-1.0434E-05	-4.7846E-11	-1.3258E-09	-4.0533E-11	-1.0871E-09
	Box__ex	-0.00032968	-0.00029655	-4.3107E-07	-4.2997E-07	-2.5669E-08	-7.4391E-07	-0.061566	-0.062046	-0.00094576	-0.00091871	-3.386E-05	-0.0050124	-0.06314	-0.062795	-0.00089797	-0.00088154	-1.5653E-05	-0.0054091	-0.17165	-2.5557E-05	-1.0434E-05	0.77947	-0.17167	-9.9095E-05	-0.17164	-8.39E-05
	qR7__BondPad__ex	-9.7491E-12	-2.7223E-09	-1.7026E-12	-2.3876E-12	-1.2088E-13	-3.5203E-12	-9.8597E-06	-9.8738E-06	-2.1145E-06	-2.0405E-06	-1.2178E-07	-0.00014478	-2.6269E-17	-2.5118E-14	-4.7082E-18	-6.0844E-18	-9.9354E-20	-3.3228E-17	-3.1869E-11	-1.1545E-10	-4.7846E-11	-0.17167	0.27878	-0.10694	-1.9259E-20	-5.1649E-19
	qR7__Purcell__ex	-2.7014E-10	-7.5424E-08	-4.7175E-11	-6.6155E-11	-3.3493E-12	-9.7541E-11	-0.00026837	-0.00026913	-5.5445E-05	-5.3558E-05	-3.144E-06	-0.0082601	-7.279E-16	-6.9601E-13	-1.3046E-16	-1.686E-16	-2.7531E-18	-9.2073E-16	-8.8314E-10	-3.1981E-09	-1.3258E-09	-9.9095E-05	-0.10694	0.11594	-5.3366E-19	-1.4312E-17
	qS16__Bondpad__ex	-2.5086E-09	-7.4241E-12	-1.8879E-12	-1.3111E-12	-9.6363E-14	-2.7794E-12	-2.3336E-14	-2.3792E-17	-5.6759E-18	-4.2178E-18	-1.8229E-19	-2.6949E-17	-8.8593E-06	-8.7957E-06	-1.8615E-06	-1.8104E-06	-5.5308E-08	-0.00014529	-2.7714E-11	-9.9796E-11	-4.0533E-11	-0.17164	-1.9259E-20	-5.3366E-19	0.28312	-0.11131
	qS16__Purcell__ex	-6.7271E-08	-1.991E-10	-5.0627E-11	-3.5159E-11	-2.5842E-12	-7.4537E-11	-6.2584E-13	-6.3808E-16	-1.5222E-16	-1.1312E-16	-4.8888E-18	-7.2272E-16	-0.00023262	-0.00023233	-4.7342E-05	-4.6193E-05	-1.3884E-06	-0.008396	-7.4329E-10	-2.6759E-09	-1.0871E-09	-8.39E-05	-5.1649E-19	-1.4312E-17	-0.11131	0.12035

Capacitive Coupling Coefficient
		bG1__Arm1__ex	bG1__Arm2__ex	bG1__phi1__ex	bG1__phi2__ex	bG1__phi3__ex	bG1__phi4__ex	qR7__Arm1__ex	qR7__Arm2__ex	qR7__phi1__ex	qR7__phi2__ex	qR7__phi3__ex	qR7__phi4__ex	qS16__Arm1__ex	qS16__Arm2__ex	qS16__phi1__ex	qS16__phi2__ex	qS16__phi3__ex	qS16__phi4__ex	bG1__Bondpad__ex	bG1__FBL__ex	bG1__Purcell__ex	Box__ex	qR7__BondPad__ex	qR7__Purcell__ex	qS16__Bondpad__ex	qS16__Purcell__ex
	bG1__Arm1__ex	1	-0.060394	-0.28585	-0.037394	-0.012285	-0.076378	-0.00011357	-1.2E-07	-5.3489E-08	-4.0145E-08	-8.6549E-09	-1.8096E-07	-3.387E-05	-0.07756	-1.1624E-05	-1.5026E-05	-1.7584E-06	-5.5952E-05	-0.040871	-0.38182	-0.14527	-0.001214	-6.0032E-11	-2.5793E-09	-1.5328E-08	-6.3047E-07
